Layer: 1, Crossbars required: 1
OU Row: 4, OU Col: 8, OU required: 32, Latency: 1024.0, Energy: 196608.0, EDP: 201326592.00000 J•s, Power Density: 0.00009 W, TOPS: 1.71e-02, EPM: 5.14e-15
OU Row: 4, OU Col: 12, OU required: 22, Latency: 484.0, Energy: 139392.0, EDP: 67465728.00000 J•s, Power Density: 0.00018 W, TOPS: 2.56e-02, EPM: 6.84e-15
OU Row: 4, OU Col: 16, OU required: 16, Latency: 256.0, Energy: 98304.0, EDP: 25165824.00000 J•s, Power Density: 0.00029 W, TOPS: 3.42e-02, EPM: 8.54e-15
OU Row: 4, OU Col: 20, OU required: 13, Latency: 169.0, Energy: 81120.0, EDP: 13709280.00000 J•s, Power Density: 0.00044 W, TOPS: 4.27e-02, EPM: 1.02e-14
OU Row: 4, OU Col: 24, OU required: 11, Latency: 121.0, Energy: 69696.0, EDP: 8433216.00000 J•s, Power Density: 0.00061 W, TOPS: 5.13e-02, EPM: 1.19e-14
OU Row: 4, OU Col: 28, OU required: 10, Latency: 100.0, Energy: 67200.0, EDP: 6720000.00000 J•s, Power Density: 0.00082 W, TOPS: 5.98e-02, EPM: 1.36e-14
OU Row: 4, OU Col: 32, OU required: 8, Latency: 64.0, Energy: 49152.0, EDP: 3145728.00000 J•s, Power Density: 0.00105 W, TOPS: 6.84e-02, EPM: 1.53e-14
OU Row: 8, OU Col: 4, OU required: 32, Latency: 2048.0, Energy: 393216.0, EDP: 805306368.00000 J•s, Power Density: 0.00009 W, TOPS: 1.71e-02, EPM: 5.17e-15
OU Row: 8, OU Col: 8, OU required: 16, Latency: 512.0, Energy: 196608.0, EDP: 100663296.00000 J•s, Power Density: 0.00023 W, TOPS: 3.42e-02, EPM: 6.87e-15
OU Row: 8, OU Col: 12, OU required: 11, Latency: 242.0, Energy: 139392.0, EDP: 33732864.00000 J•s, Power Density: 0.00044 W, TOPS: 5.13e-02, EPM: 8.58e-15
