Layer #	Weight Sparsity (%)	OU Config
1	0.9500000000000001	4 x 16
2	0.86	4 x 32
3	0.8620000000000001	4 x 32
4	0.863	4 x 32
5	0.964	4 x 16
6	0.761	4 x 32
7	0.97	4 x 16
8	0.68	4 x 32
9	0.35000000000000003	4 x 4
10	0.35000000000000003	4 x 4
11	0.4	4 x 4
