Layer #	Weight Sparsity (%)	Chiplet	OU Config
1	95.0	Standard	4 x 16
2	86.0	Standard	4 x 32
3	86.2	Standard	4 x 32
4	86.3	Standard	4 x 32
5	96.39999999999999	Standard	4 x 16
6	76.1	Standard	4 x 32
7	97.0	Standard	4 x 16
8	68.0	Standard	4 x 32
9	35.0	Standard	4 x 32
10	35.0	Standard	4 x 32
11	40.0	Standard	4 x 32
1	95.0	Shared	4 x 4
2	86.0	Shared	4 x 4
3	86.2	Shared	4 x 4
4	86.3	Shared	4 x 4
5	96.39999999999999	Shared	4 x 4
6	76.1	Shared	4 x 4
7	97.0	Shared	4 x 4
8	68.0	Shared	4 x 4
9	35.0	Shared	4 x 4
10	35.0	Shared	4 x 4
11	40.0	Shared	4 x 4
1	95.0	Adder	4 x 4
2	86.0	Adder	4 x 4
3	86.2	Adder	4 x 4
4	86.3	Adder	4 x 4
5	96.39999999999999	Adder	4 x 4
6	76.1	Adder	4 x 4
7	97.0	Adder	4 x 4
8	68.0	Adder	4 x 4
9	35.0	Adder	4 x 4
10	35.0	Adder	4 x 4
11	40.0	Adder	4 x 4
1	95.0	Accumulator	96 x 16
2	86.0	Accumulator	128 x 32
3	86.2	Accumulator	128 x 32
4	86.3	Accumulator	128 x 32
5	96.39999999999999	Accumulator	128 x 16
6	76.1	Accumulator	128 x 32
7	97.0	Accumulator	128 x 16
8	68.0	Accumulator	128 x 48
9	35.0	Accumulator	128 x 96
10	35.0	Accumulator	128 x 96
11	40.0	Accumulator	128 x 80
