Layer #	Weight Sparsity (%)	Chiplet	OU Config
1	34.317129629629626	Standard	4 x 32
2	40.8203125	Standard	4 x 32
3	22.07438151041666	Standard	4 x 32
4	23.11740451388889	Standard	4 x 32
5	11.216905381944441	Standard	4 x 32
6	8.336046006944441	Standard	4 x 32
7	4.49083116319444	Standard	4 x 32
8	5.04608154296875	Standard	4 x 32
9	6.20083279079861	Standard	4 x 32
10	6.9731394449869795	Standard	4 x 32
11	5.3970760769314206	Standard	4 x 32
12	5.13661702473958	Standard	4 x 32
13	6.24139573838975	Standard	4 x 32
14	21.53863322978117	Standard	4 x 32
15	14.161098003387451	Standard	4 x 32
16	6.3052734375	Standard	4 x 32
1	34.317129629629626	Shared	4 x 4
2	40.8203125	Shared	4 x 4
3	22.07438151041666	Shared	4 x 4
4	23.11740451388889	Shared	4 x 4
5	11.216905381944441	Shared	4 x 4
6	8.336046006944441	Shared	4 x 4
7	4.49083116319444	Shared	4 x 4
8	5.04608154296875	Shared	4 x 4
9	6.20083279079861	Shared	4 x 4
10	6.9731394449869795	Shared	4 x 4
11	5.3970760769314206	Shared	4 x 4
12	5.13661702473958	Shared	4 x 4
13	6.24139573838975	Shared	4 x 4
14	21.53863322978117	Shared	4 x 4
15	14.161098003387451	Shared	4 x 4
16	6.3052734375	Shared	4 x 4
1	34.317129629629626	Adder	4 x 4
2	40.8203125	Adder	4 x 4
3	22.07438151041666	Adder	4 x 4
4	23.11740451388889	Adder	4 x 4
5	11.216905381944441	Adder	4 x 4
6	8.336046006944441	Adder	4 x 4
7	4.49083116319444	Adder	4 x 4
8	5.04608154296875	Adder	4 x 4
9	6.20083279079861	Adder	4 x 4
10	6.9731394449869795	Adder	4 x 4
11	5.3970760769314206	Adder	4 x 4
12	5.13661702473958	Adder	4 x 4
13	6.24139573838975	Adder	4 x 4
14	21.53863322978117	Adder	4 x 4
15	14.161098003387451	Adder	4 x 4
16	6.3052734375	Adder	4 x 4
1	34.317129629629626	Accumulator	96 x 128
2	40.8203125	Accumulator	128 x 80
3	22.07438151041666	Accumulator	112 x 128
4	23.11740451388889	Accumulator	128 x 112
5	11.216905381944441	Accumulator	128 x 128
6	8.336046006944441	Accumulator	128 x 128
7	4.49083116319444	Accumulator	128 x 128
8	5.04608154296875	Accumulator	128 x 128
9	6.20083279079861	Accumulator	128 x 128
10	6.9731394449869795	Accumulator	128 x 128
11	5.3970760769314206	Accumulator	128 x 128
12	5.13661702473958	Accumulator	128 x 128
13	6.24139573838975	Accumulator	128 x 128
14	21.53863322978117	Accumulator	128 x 112
15	14.161098003387451	Accumulator	128 x 112
16	6.3052734375	Accumulator	128 x 128
