Layer #	Weight Sparsity (%)	OU Config
1	0.05	4 x 4
2	0.5	4 x 4
3	0.52	4 x 4
4	0.51	4 x 4
5	0.55	4 x 4
6	0.51	4 x 4
7	0.57	4 x 4
8	0.52	4 x 4
9	0.63	4 x 4
10	0.71	4 x 4
11	0.81	4 x 4
12	0.85	4 x 4
13	0.89	4 x 4
14	0.6	4 x 4
15	0.65	4 x 4
16	0.55	4 x 4
