Layer #	Weight Sparsity (%)	OU Config
1	0.05	4 x 32
2	0.5	4 x 32
3	0.52	4 x 32
4	0.51	4 x 32
5	0.55	4 x 32
6	0.51	4 x 32
7	0.57	4 x 32
8	0.52	4 x 32
9	0.63	4 x 32
10	0.71	4 x 32
11	0.81	4 x 32
12	0.85	4 x 32
13	0.89	4 x 16
14	0.6	4 x 32
15	0.65	4 x 32
16	0.55	4 x 32
