Layer #	Weight Sparsity (%)	OU Config
1	0.93	4 x 4
2	0.7000000000000001	4 x 4
3	0.8	4 x 4
4	0.91	4 x 4
5	0.9400000000000001	4 x 4
6	0.91	4 x 4
7	0.89	4 x 4
8	0.89	4 x 4
9	0.9	4 x 4
10	0.92	4 x 4
11	0.92	4 x 4
12	0.91	4 x 4
13	0.9	4 x 4
14	0.91	4 x 4
15	0.15	4 x 4
16	0.17	4 x 4
17	0.16	4 x 4
18	0.1	4 x 4
