Layer #	Weight Sparsity (%)	OU Config
1	0.9500000000000001	32 x 16
2	0.86	32 x 32
3	0.8620000000000001	32 x 32
4	0.863	32 x 32
5	0.964	32 x 16
6	0.761	32 x 32
7	0.97	32 x 16
8	0.68	32 x 32
9	0.35000000000000003	32 x 32
10	0.35000000000000003	32 x 32
11	0.4	32 x 32
