Layer #	Weight Sparsity (%)	OU Config
1	0.93	4 x 16
2	0.7000000000000001	4 x 32
3	0.8	4 x 32
4	0.91	4 x 16
5	0.9400000000000001	4 x 16
6	0.91	4 x 16
7	0.89	4 x 16
8	0.89	4 x 16
9	0.9	4 x 16
10	0.92	4 x 16
11	0.92	4 x 16
12	0.91	4 x 16
13	0.9	4 x 16
14	0.91	4 x 16
15	0.15	4 x 32
16	0.17	4 x 32
17	0.16	4 x 32
18	0.1	4 x 32
